"Q38A","Q94","Q101","Q1","URBRUR","REGION","corruption_presidency","education","gender","age_group","urban_rural","region"
1,7,2,24,1,634,"Some","Some university","Female","25-34","Urban","634"
1,3,1,45,1,634,"Some","Primary school completed","Male","45-54","Urban","634"
2,7,1,18,1,634,"Most","Some university","Male","18-24","Urban","634"
1,4,1,35,1,634,"Some","Some secondary schooling","Male","35-44","Urban","634"
1,8,1,29,1,634,"Some","University completed","Male","25-34","Urban","634"
1,9,2,40,1,634,"Some","Post-graduate","Female","35-44","Urban","634"
2,6,2,60,1,634,"Most","Post-secondary qualifications","Female","55+","Urban","634"
2,5,2,23,1,634,"Most","Secondary school completed","Female","18-24","Urban","634"
3,7,1,40,1,642,"All","Some university","Male","35-44","Urban","642"
3,5,1,22,1,642,"All","Secondary school completed","Male","18-24","Urban","642"
3,4,1,21,1,642,"All","Some secondary schooling","Male","18-24","Urban","642"
3,6,1,60,1,642,"All","Post-secondary qualifications","Male","55+","Urban","642"
2,7,1,33,1,634,"Most","Some university","Male","25-34","Urban","634"
1,6,2,21,1,642,"Some","Post-secondary qualifications","Female","18-24","Urban","642"
0,6,1,44,1,634,"None","Post-secondary qualifications","Male","45-54","Urban","634"
2,7,1,22,1,634,"Most","Some university","Male","18-24","Urban","634"
2,5,2,18,1,634,"Most","Secondary school completed","Female","18-24","Urban","634"
1,4,1,39,2,631,"Some","Some secondary schooling","Male","35-44","Rural","631"
3,5,1,40,2,631,"All","Secondary school completed","Male","35-44","Rural","631"
1,3,2,57,2,631,"Some","Primary school completed","Female","55+","Rural","631"
2,8,1,36,2,631,"Most","University completed","Male","35-44","Rural","631"
3,5,2,20,1,642,"All","Secondary school completed","Female","18-24","Urban","642"
1,5,2,22,1,642,"Some","Secondary school completed","Female","18-24","Urban","642"
2,7,2,21,1,634,"Most","Some university","Female","18-24","Urban","634"
1,5,2,32,1,634,"Some","Secondary school completed","Female","25-34","Urban","634"
3,5,2,18,1,642,"All","Secondary school completed","Female","18-24","Urban","642"
1,6,2,28,1,634,"Some","Post-secondary qualifications","Female","25-34","Urban","634"
2,6,1,26,1,634,"Most","Post-secondary qualifications","Male","25-34","Urban","634"
2,3,2,30,2,631,"Most","Primary school completed","Female","25-34","Rural","631"
1,6,1,57,2,631,"Some","Post-secondary qualifications","Male","55+","Rural","631"
2,6,2,20,2,631,"Most","Post-secondary qualifications","Female","18-24","Rural","631"
2,5,1,24,2,642,"Most","Secondary school completed","Male","25-34","Rural","642"
2,5,2,55,2,642,"Most","Secondary school completed","Female","55+","Rural","642"
2,8,1,40,2,631,"Most","University completed","Male","35-44","Rural","631"
3,3,1,45,2,631,"All","Primary school completed","Male","45-54","Rural","631"
1,3,2,35,2,631,"Some","Primary school completed","Female","35-44","Rural","631"
2,6,1,50,2,631,"Most","Post-secondary qualifications","Male","45-54","Rural","631"
3,8,1,43,1,620,"All","University completed","Male","35-44","Urban","620"
2,4,1,40,1,620,"Most","Some secondary schooling","Male","35-44","Urban","620"
3,5,2,25,1,620,"All","Secondary school completed","Female","25-34","Urban","620"
1,4,2,54,2,631,"Some","Some secondary schooling","Female","55+","Rural","631"
3,4,1,32,2,631,"All","Some secondary schooling","Male","25-34","Rural","631"
3,5,2,38,2,631,"All","Secondary school completed","Female","35-44","Rural","631"
2,8,1,37,1,620,"Most","University completed","Male","35-44","Urban","620"
1,3,1,22,2,634,"Some","Primary school completed","Male","18-24","Rural","634"
2,5,1,25,2,634,"Most","Secondary school completed","Male","25-34","Rural","634"
2,3,2,27,2,634,"Most","Primary school completed","Female","25-34","Rural","634"
3,2,1,90,2,634,"All","Some primary schooling","Male","55+","Rural","634"
2,1,2,31,2,641,"Most","Informal schooling only","Female","25-34","Rural","641"
3,1,2,35,2,641,"All","Informal schooling only","Female","35-44","Rural","641"
1,0,1,18,2,641,"Some","No formal schooling","Male","18-24","Rural","641"
2,0,1,25,2,641,"Most","No formal schooling","Male","25-34","Rural","641"
1,4,2,21,1,620,"Some","Some secondary schooling","Female","18-24","Urban","620"
1,6,2,42,1,620,"Some","Post-secondary qualifications","Female","35-44","Urban","620"
2,3,2,60,2,634,"Most","Primary school completed","Female","55+","Rural","634"
3,0,2,29,2,634,"All","No formal schooling","Female","25-34","Rural","634"
1,0,2,20,2,634,"Some","No formal schooling","Female","18-24","Rural","634"
1,5,1,31,2,642,"Some","Secondary school completed","Male","25-34","Rural","642"
3,5,2,54,1,620,"All","Secondary school completed","Female","55+","Urban","620"
1,4,2,37,2,642,"Some","Some secondary schooling","Female","35-44","Rural","642"
1,0,1,78,2,642,"Some","No formal schooling","Male","55+","Rural","642"
1,0,1,19,2,641,"Some","No formal schooling","Male","18-24","Rural","641"
2,0,1,55,2,641,"Most","No formal schooling","Male","55+","Rural","641"
1,1,2,30,2,641,"Some","Informal schooling only","Female","25-34","Rural","641"
2,3,1,42,2,634,"Most","Primary school completed","Male","35-44","Rural","634"
3,0,2,28,2,641,"All","No formal schooling","Female","25-34","Rural","641"
2,6,2,25,2,642,"Most","Post-secondary qualifications","Female","25-34","Rural","642"
1,5,1,42,2,642,"Some","Secondary school completed","Male","35-44","Rural","642"
2,5,1,78,1,631,"Most","Secondary school completed","Male","55+","Urban","631"
2,5,2,47,2,642,"Most","Secondary school completed","Female","45-54","Rural","642"
2,2,2,73,1,631,"Most","Some primary schooling","Female","55+","Urban","631"
1,5,1,28,1,631,"Some","Secondary school completed","Male","25-34","Urban","631"
2,5,1,24,1,631,"Most","Secondary school completed","Male","25-34","Urban","631"
2,0,1,22,2,641,"Most","No formal schooling","Male","18-24","Rural","641"
0,0,2,32,2,641,"None","No formal schooling","Female","25-34","Rural","641"
2,3,2,26,1,631,"Most","Primary school completed","Female","25-34","Urban","631"
1,3,2,32,2,620,"Some","Primary school completed","Female","25-34","Rural","620"
2,5,1,24,2,620,"Most","Secondary school completed","Male","25-34","Rural","620"
2,1,2,45,2,641,"Most","Informal schooling only","Female","45-54","Rural","641"
3,5,1,48,2,620,"All","Secondary school completed","Male","45-54","Rural","620"
0,4,1,41,2,641,"None","Some secondary schooling","Male","35-44","Rural","641"
3,3,2,40,1,631,"All","Primary school completed","Female","35-44","Urban","631"
1,7,1,21,1,631,"Some","Some university","Male","18-24","Urban","631"
2,5,2,29,1,631,"Most","Secondary school completed","Female","25-34","Urban","631"
0,8,2,37,2,620,"None","University completed","Female","35-44","Rural","620"
1,4,1,47,2,641,"Some","Some secondary schooling","Male","45-54","Rural","641"
0,3,1,25,2,641,"None","Primary school completed","Male","25-34","Rural","641"
1,0,2,30,2,641,"Some","No formal schooling","Female","25-34","Rural","641"
1,0,2,34,2,641,"Some","No formal schooling","Female","35-44","Rural","641"
3,6,2,30,2,620,"All","Post-secondary qualifications","Female","25-34","Rural","620"
3,5,2,33,2,620,"All","Secondary school completed","Female","25-34","Rural","620"
1,3,1,30,2,620,"Some","Primary school completed","Male","25-34","Rural","620"
3,5,1,40,2,620,"All","Secondary school completed","Male","35-44","Rural","620"
3,5,1,29,1,631,"All","Secondary school completed","Male","25-34","Urban","631"
3,2,2,45,1,631,"All","Some primary schooling","Female","45-54","Urban","631"
0,5,1,24,1,631,"None","Secondary school completed","Male","25-34","Urban","631"
2,5,1,27,1,631,"Most","Secondary school completed","Male","25-34","Urban","631"
1,0,2,22,2,641,"Some","No formal schooling","Female","18-24","Rural","641"
1,0,2,28,2,641,"Some","No formal schooling","Female","25-34","Rural","641"
1,1,1,43,2,641,"Some","Informal schooling only","Male","35-44","Rural","641"
2,1,1,18,2,641,"Most","Informal schooling only","Male","18-24","Rural","641"
2,5,2,20,1,631,"Most","Secondary school completed","Female","18-24","Urban","631"
