"term","estimate","std.error","statistic","conf.low","conf.high","coef.type"
"educationInformal schooling only",-0.0141955035106327,0.247478599659802,-0.0573605294766764,-0.501585674981605,0.469510989862518,"coefficient"
"educationSome primary schooling",0.451312567621403,0.266547275294311,1.69318019523209,-0.0718138968682891,0.974352561202665,"coefficient"
"educationPrimary school completed",0.328057564964773,0.187529989363547,1.74936054802839,-0.0391731171414142,0.696218629598822,"coefficient"
"educationSome secondary schooling",0.333285176714068,0.198484485333644,1.67914976404241,-0.055455475379815,0.722934967476499,"coefficient"
"educationSecondary school completed",0.371261825432206,0.162910248594978,2.27893474249876,0.0525938279667796,0.691467516233197,"coefficient"
"educationPost-secondary qualifications",0.315860681739571,0.197626529212109,1.59827065221878,-0.0712725400842925,0.703735270764907,"coefficient"
"educationSome university",0.163863167165773,0.276069133976894,0.593558449672567,-0.378634066382738,0.70477558102005,"coefficient"
"educationUniversity completed",0.353432659438053,0.236613550934542,1.49371267216994,-0.110246214237106,0.817840991145886,"coefficient"
"educationPost-graduate",-0.195116573842438,0.7509991490314,-0.259809314157133,-1.69394978409769,1.29913759768208,"coefficient"
"genderFemale",0.121426514601518,0.0972350612672949,1.24879352179068,-0.0690737302620066,0.312150702316984,"coefficient"
"urban_ruralRural",-0.416131152443879,0.101309970088938,-4.10750444480997,-0.615034034616721,-0.217825970117236,"coefficient"
"age_group25-34",-0.135746217231418,0.132871256064155,-1.02163719417144,-0.396240900613234,0.124744521376345,"coefficient"
"age_group35-44",0.014598408822494,0.141162373754072,0.103415722152185,-0.26209091509824,0.291402771781294,"coefficient"
"age_group45-54",-0.125797370216625,0.173869837831935,-0.723514623267912,-0.46703444434746,0.214810777772224,"coefficient"
"age_group55+",0.179239785285461,0.187709410157805,0.954879060856759,-0.18869789501754,0.547485902407338,"coefficient"
"None|Some",-3.1670430041411,0.233179868531406,-13.581974396364,NA,NA,"scale"
"Some|Most",-0.313627684018004,0.198896550581263,-1.57683822621079,NA,NA,"scale"
"Most|All",1.40958942895126,0.202001042435671,6.97812947871376,NA,NA,"scale"
