"","x"
"educationInformal schooling only",0.985904777575028
"educationSome primary schooling",1.57037205284696
"educationPrimary school completed",1.38826888563878
"educationSome secondary schooling",1.39554521872812
"educationSecondary school completed",1.44956255604812
"educationPost-secondary qualifications",1.37143917579564
"educationSome university",1.17805310771814
"educationUniversity completed",1.42394709432516
"educationPost-graduate",0.82273874264896
"genderFemale",1.12910639004344
"urban_ruralRural",0.659593757478057
"age_group25-34",0.873064173018924
"age_group35-44",1.01470548601026
"age_group45-54",0.881793506309099
"age_group55+",1.19630756672998
